tag_id,name,category,count,old_right_tag_cn,new_right_tag_cn
656624,star_(symbol),0,193728,星形,星形(符号)
1364406,genderswap_(mtf),0,32685,女体化,女体化(性转)
382969,bow_(weapon),0,21307,弓,弓(武器)
1569656,arrow_(symbol),0,19159,箭头,箭头(符号)
1602539,vision_(genshin_impact),0,17881,vision_(genshin_impact),神之眼(原神)
1569657,arrow_(projectile),0,17191,箭矢,箭矢(炮弹)
1571375,poke_ball_(basic),0,15372,基础红白精灵球,基础红白精灵球(基础)
496617,marker_(medium),0,11264,用记号笔作的画,用记号笔作的画(媒介)
416486,photo_(object),0,10645,照片,照片(物体)
513428,watercolor_(medium),0,10624,水彩画风,水彩画风(媒介)
1364407,genderswap_(ftm),0,8667,男体化,男体化(性转)
495048,lily_(flower),0,7300,百合花,百合花(花)
1618887,infection_monitor_(arknights),0,7221,infection_monitor_(arknights),感染检测仪(明日方舟)
425624,charm_(object),0,6698,强调角色魅力的,强调角色魅力的(物体)
1587249,oripathy_lesion_(arknights),0,6259,oripathy_lesion_(arknights),矿石病(明日方舟)
461563,poster_(object),0,5739,海报,海报(物体)
513605,colored_pencil_(medium),0,5404,彩色铅笔画,彩色铅笔画(媒介)
581054,keyboard_(computer),0,4801,电脑键盘,电脑键盘(电脑)
567636,painting_(object),0,4682,绘画,绘画(物体)
641554,tomoe_(symbol),0,4151,巴纹,巴纹(符号)
1684874,laevatein_(touhou),0,3820,laevatein_(touhou),莱瓦汀(touhou)
548668,excalibur_(fate/stay_night),0,3507,excalibur_(fate/stay_night),誓约胜利之剑(Fate/stay night)
666648,mitsudomoe_(shape),0,3451,巴纹,巴纹(形状)
1434382,spade_(shape),0,3260,黑桃,黑桃(形状)
1627141,gae_bolg_(fate),0,3164,gae_bolg_(fate),穿刺死棘之枪(Fate)
676653,mouse_(computer),0,3064,鼠标,鼠标(电脑)
1631337,shimakaze_(kancolle)_(cosplay),0,3039,shimakaze_(kancolle)_(cosplay),岛风_舰队Collection(Cosplay)
1449257,gem_uniform_(houseki_no_kuni),0,3034,宝石之国的制服,宝石之国的制服(宝石之国)
534340,calendar_(object),0,2794,图中有日历,图中有日历(物体)
541927,manga_(object),0,2571,图中有漫画,图中有漫画(物体)
701781,calendar_(medium),0,2558,日历,日历(媒介)
480182,keyboard_(instrument),0,2508,键盘乐器,键盘乐器(仪器)
1926062,millennium_cheerleader_outfit_(blue_archive),0,2400,millennium_cheerleader_outfit_(blue_archive),千年啦啦队服装(蔚蓝档案)
1506804,pearl_(gemstone),0,2338,珍珠,珍珠(宝石)
692799,choko_(cup),0,2133,猪口杯,猪口杯(杯子)
